date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-02-10,2025-02-10 09:15:00,23565.0,23550,23650,23450,2025-02-13,97.45,123.0,2025-02-10 09:17:00,23836.5,86.05,128.5,SL,-5.900000000000006
2025-02-11,2025-02-11 09:15:00,23577.35,23600,23700,23500,2025-02-13,34.3,215.85,2025-02-11 09:25:00,23380.0,29.6,245.3,Target,24.75000000000002
2025-02-12,2025-02-12 09:15:00,23421.35,23400,23500,23300,2025-02-13,11.15,258.45,2025-02-12 09:17:00,23422.9,9.95,252.35,SL,-7.299999999999995
2025-02-13,2025-02-13 09:15:00,23309.15,23300,23400,23200,2025-02-20,87.35,226.2,2025-02-13 09:22:00,23450.0,81.85,224.8,SL,-6.899999999999977
2025-02-14,2025-02-14 09:15:00,23468.3,23450,23550,23350,2025-02-20,36.7,286.7,2025-02-14 09:25:00,23147.25,30.8,326.8,Target,34.20000000000002
2025-02-17,2025-02-17 09:15:00,22989.1,23000,23100,22900,2025-02-20,63.1,222.0,2025-02-17 09:17:00,22995.0,63.05,214.0,SL,-8.050000000000004
2025-02-18,2025-02-18 09:15:00,23275.5,23300,23400,23200,2025-02-20,22.35,289.5,2025-02-18 09:25:00,22945.9,18.8,341.0,Target,47.95
2025-02-19,2025-02-19 09:15:00,23175.0,23200,23300,23100,2025-02-20,9.65,269.5,2025-02-19 09:17:00,23186.85,9.75,257.0,SL,-12.4
2025-02-20,2025-02-20 09:15:00,23190.0,23200,23300,23100,2025-02-27,50.4,299.2,2025-02-20 09:25:00,22898.5,46.35,303.25,Target,1.4210854715202004e-14
2025-02-21,2025-02-21 09:15:00,22914.8,22900,23000,22800,2025-02-27,116.25,113.85,2025-02-21 09:25:00,22922.45,120.25,109.05,Target,-0.7999999999999972
2025-02-24,2025-02-24 09:15:00,22999.0,23000,23100,22900,2025-02-27,21.15,244.7,2025-02-24 09:25:00,22936.05,14.9,288.55,Target,37.60000000000002
2025-02-25,2025-02-25 09:15:00,22880.0,22900,23000,22800,2025-02-27,8.45,232.6,2025-02-25 09:17:00,22870.0,7.05,228.2,SL,-5.800000000000005
2025-02-27,2025-02-27 09:15:00,22862.2,22850,22950,22750,2025-03-06,39.05,221.9,2025-02-27 09:16:00,22876.0,38.55,209.9,SL,-12.5
2025-02-28,2025-02-28 09:15:00,22800.0,22800,22900,22700,2025-03-06,14.2,323.2,2025-02-28 09:25:00,22495.0,10.2,330.25,Target,3.0500000000000114
2025-03-03,2025-03-03 09:15:00,22489.1,22500,22600,22400,2025-03-06,20.1,224.0,2025-03-03 09:16:00,22500.7,20.65,210.1,SL,-13.350000000000009
2025-03-04,2025-03-04 09:15:00,22398.9,22400,22500,22300,2025-03-06,6.75,308.0,2025-03-04 09:21:00,22409.6,7.1,298.75,SL,-8.9
2025-03-05,2025-03-05 09:15:00,22482.35,22500,22600,22400,2025-03-06,2.6,296.25,2025-03-05 09:18:00,22490.0,2.4,289.1,SL,-7.349999999999977
2025-03-06,2025-03-06 09:15:00,22790.05,22800,22900,22700,2025-03-13,25.2,294.65,2025-03-06 09:25:00,22742.6,21.2,353.4,Target,54.75
2025-03-07,2025-03-07 09:15:00,22585.0,22600,22700,22500,2025-03-13,70.75,152.7,2025-03-07 09:24:00,22854.95,78.3,138.2,SL,-6.950000000000003
2025-03-10,2025-03-10 09:15:00,22880.1,22900,23000,22800,2025-03-13,12.3,285.45,2025-03-10 09:16:00,22879.0,13.65,276.45,SL,-7.65
2025-03-11,2025-03-11 09:15:00,22550.8,22550,22650,22450,2025-03-13,23.85,177.45,2025-03-11 09:25:00,22373.35,19.35,189.35,Target,7.400000000000006
